Name,ST23
GCA_019165765.1_ASM1916576v1_genomic,1
GCA_019165565.1_ASM1916556v1_genomic,0
GCA_013056265.1_ASM1305626v1_genomic,0
GCA_019165575.1_ASM1916557v1_genomic,0
GCA_019165925.1_ASM1916592v1_genomic,0
GCA_019165655.1_ASM1916565v1_genomic,0
GCA_002845965.1_ASM284596v1_genomic,0
GCA_019165545.1_ASM1916554v1_genomic,0
GCA_009909325.1_ASM990932v1_genomic,1
GCA_019165945.1_ASM1916594v1_genomic,1
GCA_009931075.1_ASM993107v1_genomic,0
GCA_019165455.1_ASM1916545v1_genomic,0
GCA_019165785.1_ASM1916578v1_genomic,0
GCA_003065165.1_ASM306516v1_genomic,0
GCA_015700025.1_ASM1570002v1_genomic,1
GCA_019165445.1_ASM1916544v1_genomic,0
GCA_015700015.1_ASM1570001v1_genomic,1
GCA_002870945.1_ASM287094v1_genomic,0
GCA_019165705.1_ASM1916570v1_genomic,1
GCA_013055785.1_ASM1305578v1_genomic,0
GCA_019165465.1_ASM1916546v1_genomic,0
GCA_019165725.1_ASM1916572v1_genomic,1
GCA_013056085.1_ASM1305608v1_genomic,0
GCA_019165775.1_ASM1916577v1_genomic,0
GCA_002871025.1_ASM287102v1_genomic,0
GCA_019165645.1_ASM1916564v1_genomic,0
GCA_009909305.1_ASM990930v1_genomic,1
GCA_019165815.1_ASM1916581v1_genomic,0
GCA_008830555.1_ASM883055v1_genomic,1
GCA_019165595.1_ASM1916559v1_genomic,0
GCA_019165745.1_ASM1916574v1_genomic,1
GCA_015699985.1_ASM1569998v1_genomic,0
GCA_002845945.1_ASM284594v1_genomic,0
GCA_019165875.1_ASM1916587v1_genomic,0
GCA_019165675.1_ASM1916567v1_genomic,0
GCA_019165845.1_ASM1916584v1_genomic,1
GCA_002870885.1_ASM287088v1_genomic,1
GCA_019249995.1_ASM1924999v1_genomic,0
GCA_019165885.1_ASM1916588v1_genomic,1
GCA_008630125.1_ASM863012v1_genomic,0
GCA_002890425.1_ASM289042v1_genomic,1
